/*
Date 2024-07-02
*/

<1999 Q1>
eonia inf og
3.0537 0.8 -2.2097
2.6086 0.9667 -1.9368
2.4658 1.1 -1.1501
2.8314 1.4667 0.1748
3.2835 1.9333 0.2571
3.9847 1.8667 1.707
4.4388 2.2 1.9874
4.8052 2.4667 2.7937
4.8386 2.0667 2.4589
4.7408 2.9 1.291
4.3408 2.3333 0.3477
3.6286 2.1333 -1.0923
3.2806 2.5333 -0.5921
3.3243 2.1333 -0.4987
3.3041 2.0667 -0.651
3.2373 2.3 -1.0607
2.7668 2.3 -0.9354
2.4418 1.9667 -2.1588
2.0655 2 -2.4992
2.0155 2.0667 -1.3868
2.0189 1.7 -1.2005
2.0395 2.3 -0.8072
2.0533 2.2667 -1.4774
2.0824 2.3 -1.8289
2.0642 2.0667 -2.197
2.0692 2.0333 -1.3616
2.0758 2.3 -0.8786
2.142 2.3667 -0.0827
2.402 2.3333 -0.1015
2.6347 2.4667 1.7446
2.9418 2.1667 2.4371
3.3627 1.8 3.6
3.6091 1.8333 4.4615
3.8553 1.9 5.0471
4.0469 1.8667 6.2917
3.9507 2.9 6.5914
4.0451 3.3667 7.7414
4.0008 3.6667 6.7937
4.2527 3.8333 5.517
3.173 2.3 -0.5626
1.374 0.9667 -8.6141
0.7716 0.1667 -9.2388
0.3562 -0.3667 -7.225
0.3585 0.4333 -6.3033
0.3443 1.1 -4.7121
0.3505 1.6 -1.5567
0.4534 1.7333 -1.1269
0.5943 2 0.7259
0.6739 2.4667 1.9364
1.0447 2.7333 1.9191
0.9727 2.7 2.4824
0.7922 2.9333 1.4338
0.3675 2.7 0.0812
0.3378 2.4667 -0.2343
0.1319 2.5333 0.2933
0.0814 2.3 -1.7982
0.0679 1.8667 -2.3104
0.0818 1.4 -1.3584
0.0853 1.3333 -0.9859
0.1201 0.8 -0.785
0.1822 0.6667 -0.4879
0.1916 0.5667 -0.6616
0.023 0.3667 -1.1181
-0.0151 0.1667 -1.5852
-0.0459 -0.3333 -0.2607
-0.1002 0.4333 0.2302
-0.1248 0.3667 0.2047
-0.1579 0.2333 -0.1762
-0.2559 0.0667 0.5341
-0.3361 -0.1333 -0.251
-0.337 0.2667 -0.0794
-0.3486 0.7333 0.6427
-0.3526 1.7333 0.1144
-0.3582 1.5333 0.6227
-0.3578 1.4667 1.6957
-0.3505 1.4 3.2628
-0.3636 1.2667 1.1006
-0.3633 1.7333 1.0682
-0.3617 2.1333 0.8209
-0.3628 1.9 0.2283
-0.3673 1.4333 0.6218
-0.3651 1.4 -0.5744
-0.3765 0.9333 -1.1038
-0.4575 1 -2.045
